"Major area, region, country or area *",Period,Age (x),Age interval (n),"Central death rate m(x,n)"
Afghanistan,2010-2015,0,1,0.07514
Afghanistan,2010-2015,1,4,0.00755
Afghanistan,2010-2015,5,5,0.00203
Afghanistan,2010-2015,10,5,0.00157
Afghanistan,2010-2015,15,5,0.00240
Afghanistan,2010-2015,20,5,0.00330
Afghanistan,2010-2015,25,5,0.00363
Afghanistan,2010-2015,30,5,0.00415
Afghanistan,2010-2015,35,5,0.00500
Afghanistan,2010-2015,40,5,0.00634
Afghanistan,2010-2015,45,5,0.00842
Afghanistan,2010-2015,50,5,0.01194
Afghanistan,2010-2015,55,5,0.01716
Afghanistan,2010-2015,60,5,0.02582
Afghanistan,2010-2015,65,5,0.03910
Afghanistan,2010-2015,70,5,0.06149
Afghanistan,2010-2015,75,5,0.09689
Afghanistan,2010-2015,80,5,0.15188
Afghanistan,2010-2015,85,15,0.25611
AFRICA,2010-2015,0,1,0.06177
AFRICA,2010-2015,1,4,0.00844
AFRICA,2010-2015,5,5,0.00344
AFRICA,2010-2015,10,5,0.00237
AFRICA,2010-2015,15,5,0.00279
AFRICA,2010-2015,20,5,0.00364
AFRICA,2010-2015,25,5,0.00458
AFRICA,2010-2015,30,5,0.00578
AFRICA,2010-2015,35,5,0.00713
AFRICA,2010-2015,40,5,0.00801
AFRICA,2010-2015,45,5,0.00906
AFRICA,2010-2015,50,5,0.01117
AFRICA,2010-2015,55,5,0.01497
AFRICA,2010-2015,60,5,0.02220
AFRICA,2010-2015,65,5,0.03467
AFRICA,2010-2015,70,5,0.05485
AFRICA,2010-2015,75,5,0.08614
AFRICA,2010-2015,80,5,0.13238
AFRICA,2010-2015,85,15,0.22584
Albania,2010-2015,0,1,0.01461
Albania,2010-2015,1,4,0.00033
Albania,2010-2015,5,5,0.00026
Albania,2010-2015,10,5,0.00019
Albania,2010-2015,15,5,0.00033
Albania,2010-2015,20,5,0.00053
Albania,2010-2015,25,5,0.00064
Albania,2010-2015,30,5,0.00068
Albania,2010-2015,35,5,0.00081
Albania,2010-2015,40,5,0.00116
Albania,2010-2015,45,5,0.00187
Albania,2010-2015,50,5,0.00315
Albania,2010-2015,55,5,0.00537
Albania,2010-2015,60,5,0.00944
Albania,2010-2015,65,5,0.01671
Albania,2010-2015,70,5,0.02985
Albania,2010-2015,75,5,0.05344
Albania,2010-2015,80,5,0.09244
Albania,2010-2015,85,15,0.18760
Algeria,2010-2015,0,1,0.03109
Algeria,2010-2015,1,4,0.00148
Algeria,2010-2015,5,5,0.00069
Algeria,2010-2015,10,5,0.00056
Algeria,2010-2015,15,5,0.00080
Algeria,2010-2015,20,5,0.00097
Algeria,2010-2015,25,5,0.00119
Algeria,2010-2015,30,5,0.00138
Algeria,2010-2015,35,5,0.00180
Algeria,2010-2015,40,5,0.00237
Algeria,2010-2015,45,5,0.00341
Algeria,2010-2015,50,5,0.00484
Algeria,2010-2015,55,5,0.00717
Algeria,2010-2015,60,5,0.01089
Algeria,2010-2015,65,5,0.01713
Algeria,2010-2015,70,5,0.02774
Algeria,2010-2015,75,5,0.04756
Algeria,2010-2015,80,5,0.08298
Algeria,2010-2015,85,15,0.17506
Angola,2010-2015,0,1,0.10293
Angola,2010-2015,1,4,0.01712
Angola,2010-2015,5,5,0.00643
Angola,2010-2015,10,5,0.00362
Angola,2010-2015,15,5,0.00382
Angola,2010-2015,20,5,0.00532
Angola,2010-2015,25,5,0.00668
Angola,2010-2015,30,5,0.00797
Angola,2010-2015,35,5,0.00924
Angola,2010-2015,40,5,0.01036
Angola,2010-2015,45,5,0.01160
Angola,2010-2015,50,5,0.01381
Angola,2010-2015,55,5,0.01800
Angola,2010-2015,60,5,0.02585
Angola,2010-2015,65,5,0.03949
Angola,2010-2015,70,5,0.06202
Angola,2010-2015,75,5,0.09729
Angola,2010-2015,80,5,0.14880
Angola,2010-2015,85,15,0.24616
Antigua and Barbuda,2010-2015,0,1,0.00919
Antigua and Barbuda,2010-2015,1,4,0.00057
Antigua and Barbuda,2010-2015,5,5,0.00023
Antigua and Barbuda,2010-2015,10,5,0.00027
Antigua and Barbuda,2010-2015,15,5,0.00057
Antigua and Barbuda,2010-2015,20,5,0.00096
Antigua and Barbuda,2010-2015,25,5,0.00122
Antigua and Barbuda,2010-2015,30,5,0.00149
Antigua and Barbuda,2010-2015,35,5,0.00209
Antigua and Barbuda,2010-2015,40,5,0.00314
Antigua and Barbuda,2010-2015,45,5,0.00451
Antigua and Barbuda,2010-2015,50,5,0.00620
Antigua and Barbuda,2010-2015,55,5,0.00845
Antigua and Barbuda,2010-2015,60,5,0.01117
Antigua and Barbuda,2010-2015,65,5,0.01617
Antigua and Barbuda,2010-2015,70,5,0.02745
Antigua and Barbuda,2010-2015,75,5,0.04913
Antigua and Barbuda,2010-2015,80,5,0.08632
Antigua and Barbuda,2010-2015,85,15,0.18223
Saint Martin,2010-2015,0,1,0.00919
Saint Martin,2010-2015,1,4,0.00057
Saint Martin,2010-2015,5,5,0.00023
Saint Martin,2010-2015,10,5,0.00027
Saint Martin,2010-2015,15,5,0.00057
Saint Martin,2010-2015,20,5,0.00096
Saint Martin,2010-2015,25,5,0.00122
Saint Martin,2010-2015,30,5,0.00149
Saint Martin,2010-2015,35,5,0.00209
Saint Martin,2010-2015,40,5,0.00314
Saint Martin,2010-2015,45,5,0.00451
Saint Martin,2010-2015,50,5,0.00620
Saint Martin,2010-2015,55,5,0.00845
Saint Martin,2010-2015,60,5,0.01117
Saint Martin,2010-2015,65,5,0.01617
Saint Martin,2010-2015,70,5,0.02745
Saint Martin,2010-2015,75,5,0.04913
Saint Martin,2010-2015,80,5,0.08632
Saint Martin,2010-2015,85,15,0.18223
Argentina,2010-2015,0,1,0.01386
Argentina,2010-2015,1,4,0.00058
Argentina,2010-2015,5,5,0.00025
Argentina,2010-2015,10,5,0.00027
Argentina,2010-2015,15,5,0.00049
Argentina,2010-2015,20,5,0.00084
Argentina,2010-2015,25,5,0.00107
Argentina,2010-2015,30,5,0.00127
Argentina,2010-2015,35,5,0.00164
Argentina,2010-2015,40,5,0.00235
Argentina,2010-2015,45,5,0.00352
Argentina,2010-2015,50,5,0.00538
Argentina,2010-2015,55,5,0.00833
Argentina,2010-2015,60,5,0.01298
Argentina,2010-2015,65,5,0.02028
Argentina,2010-2015,70,5,0.03157
Argentina,2010-2015,75,5,0.04896
Argentina,2010-2015,80,5,0.07541
Argentina,2010-2015,85,15,0.15322
Armenia,2010-2015,0,1,0.01338
Armenia,2010-2015,1,4,0.00075
Armenia,2010-2015,5,5,0.00021
Armenia,2010-2015,10,5,0.00025
Armenia,2010-2015,15,5,0.00045
Armenia,2010-2015,20,5,0.00055
Armenia,2010-2015,25,5,0.00064
Armenia,2010-2015,30,5,0.00091
Armenia,2010-2015,35,5,0.00141
Armenia,2010-2015,40,5,0.00240
Armenia,2010-2015,45,5,0.00375
Armenia,2010-2015,50,5,0.00598
Armenia,2010-2015,55,5,0.00961
Armenia,2010-2015,60,5,0.01550
Armenia,2010-2015,65,5,0.02342
Armenia,2010-2015,70,5,0.03779
Armenia,2010-2015,75,5,0.06117
Armenia,2010-2015,80,5,0.09794
Armenia,2010-2015,85,15,0.18265
Aruba,2010-2015,0,1,0.01498
Aruba,2010-2015,1,4,0.00061
Aruba,2010-2015,5,5,0.00029
Aruba,2010-2015,10,5,0.00024
Aruba,2010-2015,15,5,0.00046
Aruba,2010-2015,20,5,0.00064
Aruba,2010-2015,25,5,0.00068
Aruba,2010-2015,30,5,0.00079
Aruba,2010-2015,35,5,0.00106
Aruba,2010-2015,40,5,0.00162
Aruba,2010-2015,45,5,0.00275
Aruba,2010-2015,50,5,0.00454
Aruba,2010-2015,55,5,0.00762
Aruba,2010-2015,60,5,0.01243
Aruba,2010-2015,65,5,0.02116
Aruba,2010-2015,70,5,0.03587
Aruba,2010-2015,75,5,0.06050
Aruba,2010-2015,80,5,0.10342
Aruba,2010-2015,85,15,0.20351
Bonaire,2010-2015,0,1,0.01498
Bonaire,2010-2015,1,4,0.00061
Bonaire,2010-2015,5,5,0.00029
Bonaire,2010-2015,10,5,0.00024
Bonaire,2010-2015,15,5,0.00046
Bonaire,2010-2015,20,5,0.00064
Bonaire,2010-2015,25,5,0.00068
Bonaire,2010-2015,30,5,0.00079
Bonaire,2010-2015,35,5,0.00106
Bonaire,2010-2015,40,5,0.00162
Bonaire,2010-2015,45,5,0.00275
Bonaire,2010-2015,50,5,0.00454
Bonaire,2010-2015,55,5,0.00762
Bonaire,2010-2015,60,5,0.01243
Bonaire,2010-2015,65,5,0.02116
Bonaire,2010-2015,70,5,0.03587
Bonaire,2010-2015,75,5,0.06050
Bonaire,2010-2015,80,5,0.10342
Bonaire,2010-2015,85,15,0.20351
Curacao,2010-2015,0,1,0.01498
Curacao,2010-2015,1,4,0.00061
Curacao,2010-2015,5,5,0.00029
Curacao,2010-2015,10,5,0.00024
Curacao,2010-2015,15,5,0.00046
Curacao,2010-2015,20,5,0.00064
Curacao,2010-2015,25,5,0.00068
Curacao,2010-2015,30,5,0.00079
Curacao,2010-2015,35,5,0.00106
Curacao,2010-2015,40,5,0.00162
Curacao,2010-2015,45,5,0.00275
Curacao,2010-2015,50,5,0.00454
Curacao,2010-2015,55,5,0.00762
Curacao,2010-2015,60,5,0.01243
Curacao,2010-2015,65,5,0.02116
Curacao,2010-2015,70,5,0.03587
Curacao,2010-2015,75,5,0.06050
Curacao,2010-2015,80,5,0.10342
Curacao,2010-2015,85,15,0.20351
ASIA,2010-2015,0,1,0.03192
ASIA,2010-2015,1,4,0.00205
ASIA,2010-2015,5,5,0.00078
ASIA,2010-2015,10,5,0.00061
ASIA,2010-2015,15,5,0.00089
ASIA,2010-2015,20,5,0.00119
ASIA,2010-2015,25,5,0.00141
ASIA,2010-2015,30,5,0.00170
ASIA,2010-2015,35,5,0.00209
ASIA,2010-2015,40,5,0.00271
